,Date,ItemID,Category,Items Description,Unit,Qty,Rate,Amount,Issued For,Seq Code
0,2023-08-01,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
1,2023-08-01,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
2,2023-08-01,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
3,2023-08-01,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
4,2023-08-02,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
5,2023-08-02,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
6,2023-08-02,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
7,2023-08-02,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
8,2023-08-03,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
9,2023-08-03,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
10,2023-08-03,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
11,2023-08-03,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
12,2023-08-04,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
13,2023-08-04,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
14,2023-08-04,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
15,2023-08-04,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
16,2023-08-05,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
17,2023-08-05,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
18,2023-08-05,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
19,2023-08-05,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
20,2023-08-06,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
21,2023-08-06,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
22,2023-08-06,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
23,2023-08-06,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
24,2023-08-07,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
25,2023-08-07,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
26,2023-08-07,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
27,2023-08-07,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
28,2023-08-08,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
29,2023-08-08,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
30,2023-08-08,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
31,2023-08-08,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
32,2023-08-09,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
33,2023-08-09,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
34,2023-08-09,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
35,2023-08-09,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
36,2023-08-10,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
37,2023-08-10,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
38,2023-08-10,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
39,2023-08-10,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
40,2023-08-11,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
41,2023-08-11,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
42,2023-08-11,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
43,2023-08-11,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
44,2023-08-12,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
45,2023-08-12,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
46,2023-08-12,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
47,2023-08-12,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
48,2023-08-13,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
49,2023-08-13,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
50,2023-08-13,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
51,2023-08-13,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
52,2023-08-14,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
53,2023-08-14,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
54,2023-08-14,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
55,2023-08-14,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
56,2023-08-15,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
57,2023-08-15,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
58,2023-08-15,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
59,2023-08-15,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
60,2023-08-16,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
61,2023-08-16,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
62,2023-08-16,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
63,2023-08-16,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
64,2023-08-17,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
65,2023-08-17,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
66,2023-08-17,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
67,2023-08-17,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
68,2023-08-18,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
69,2023-08-18,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
70,2023-08-18,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
71,2023-08-18,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
72,2023-08-19,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
73,2023-08-19,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
74,2023-08-19,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
75,2023-08-19,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
76,2023-08-20,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
77,2023-08-20,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
78,2023-08-20,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
79,2023-08-20,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
80,2023-08-21,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
81,2023-08-21,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
82,2023-08-21,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
83,2023-08-21,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
84,2023-08-22,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
85,2023-08-22,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
86,2023-08-22,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
87,2023-08-22,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
88,2023-08-23,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
89,2023-08-23,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
90,2023-08-23,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
91,2023-08-23,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
92,2023-08-24,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
93,2023-08-24,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
94,2023-08-24,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
95,2023-08-24,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
96,2023-08-25,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
97,2023-08-25,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
98,2023-08-25,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
99,2023-08-25,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
100,2023-08-26,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
101,2023-08-26,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
102,2023-08-26,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
103,2023-08-26,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
104,2023-08-27,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
105,2023-08-27,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
106,2023-08-27,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
107,2023-08-27,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
108,2023-08-28,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
109,2023-08-28,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
110,2023-08-28,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
111,2023-08-28,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
112,2023-08-29,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
113,2023-08-29,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
114,2023-08-29,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
115,2023-08-29,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
116,2023-08-30,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
117,2023-08-30,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
118,2023-08-30,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
119,2023-08-30,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
120,2023-08-31,SLG,Dairy Silage,Silage,Silage,2,10,25,Friesian,ZS-Aug-23
121,2023-08-31,SLG,Dairy Silage,Silage,Silage,300,10,3,Bhagnari,ZS-Aug-23
122,2023-08-31,SLG,Dairy Silage,Silage,Silage,400,10,4,Brahman,ZS-Aug-23
123,2023-08-31,SLG,Dairy Silage,Silage,Silage,50,10,500,Camel,ZS-Aug-23
